ts,query
1767706075.1177583,"test"
1767706089.148122,"why am i high"
1768815536.366688,"how may i help my mother"
1768815570.0749118,"how may i improve my life"
1768847060.6030045,"test"
1768847062.6641762,"test"
1768847065.1233513,"testtest"
1768908338.7657495,"can i run"
1768908345.2083106,"can i run"
1768908345.5280719,"can i run"
1768908345.7153034,"can i run"
1768908345.8806417,"can i run"
1768908346.040225,"can i run"
1768908346.1877437,"can i run"
1768908346.3443449,"can i run"
1768908346.4929688,"can i run"
1768908346.666022,"can i run"
1774125433.5508301,"why is the sky blue"
1774125434.6024215,"why is the sky blue"
1774125434.926187,"why is the sky blue"
1774125435.2149386,"why is the sky blue"
1774125435.483156,"why is the sky blue"
1774125435.7234614,"why is the sky blue"
1774125435.9315715,"why is the sky blue"
1774125436.1396787,"why is the sky blue"
1774125436.347911,"why is the sky blue"
1774125436.587497,"why is the sky blue"
