ds,mode,k,bucket,samples,mean_us,sd_us,ci95_low_us,ci95_high_us,build_time_s,mem_peak_mb,nodes,edges,top_entries_total,engine_freq_keys,recent_window,recent_keys
Trie,baseline,1,short,30,4.885178,0.602453,4.669593,5.100763,44.122700,28.090244,78692,78691,97292,15232,10000,1937
Trie,baseline,1,mid,30,5.121804,0.689478,4.875077,5.368530,44.122700,28.090244,78692,78691,97292,15232,10000,1937
Trie,baseline,1,long,30,5.398121,0.535241,5.206587,5.589654,44.122700,28.090244,78692,78691,97292,15232,10000,1937
Trie,baseline,5,short,30,11.697541,0.971681,11.349830,12.045253,44.122700,28.090244,78692,78691,97292,15232,10000,1937
Trie,baseline,5,mid,30,11.336023,1.530414,10.788371,11.883674,44.122700,28.090244,78692,78691,97292,15232,10000,1937
Trie,baseline,5,long,30,11.290039,1.076918,10.904669,11.675409,44.122700,28.090244,78692,78691,97292,15232,10000,1937
Trie,baseline,10,short,30,18.528867,2.024181,17.804523,19.253211,44.122700,28.090244,78692,78691,97292,15232,10000,1937
Trie,baseline,10,mid,30,16.312644,1.981515,15.603568,17.021720,44.122700,28.090244,78692,78691,97292,15232,10000,1937
Trie,baseline,10,long,30,17.404058,2.031748,16.677007,18.131110,44.122700,28.090244,78692,78691,97292,15232,10000,1937
Trie,baseline,20,short,30,30.722305,2.221565,29.927328,31.517281,44.122700,28.090244,78692,78691,97292,15232,10000,1937
Trie,baseline,20,mid,30,27.902116,1.914373,27.217066,28.587166,44.122700,28.090244,78692,78691,97292,15232,10000,1937
Trie,baseline,20,long,30,29.236254,3.330620,28.044406,30.428101,44.122700,28.090244,78692,78691,97292,15232,10000,1937
Trie,ranked,1,short,30,383.742078,21.862278,375.918762,391.565394,44.122700,28.090244,78692,78691,97292,15232,10000,1937
Trie,ranked,1,mid,30,343.281809,7.178415,340.713046,345.850572,44.122700,28.090244,78692,78691,97292,15232,10000,1937
Trie,ranked,1,long,30,335.157180,8.060958,332.272603,338.041757,44.122700,28.090244,78692,78691,97292,15232,10000,1937
Trie,ranked,5,short,30,374.113881,6.963570,371.621999,376.605763,44.122700,28.090244,78692,78691,97292,15232,10000,1937
Trie,ranked,5,mid,30,346.669180,8.656016,343.571664,349.766696,44.122700,28.090244,78692,78691,97292,15232,10000,1937
Trie,ranked,5,long,30,338.527383,12.385892,334.095149,342.959618,44.122700,28.090244,78692,78691,97292,15232,10000,1937
Trie,ranked,10,short,30,374.691794,7.792652,371.903230,377.480359,44.122700,28.090244,78692,78691,97292,15232,10000,1937
