ds,mode,k,bucket,samples,mean_us,sd_us,ci95_low_us,ci95_high_us,build_time_s,mem_peak_mb,nodes,edges,top_entries_total,engine_freq_keys,recent_window,recent_keys
Trie,baseline,1,short,30,7.153848,0.912522,6.827306,7.480390,47.864770,28.090244,78692,78691,97292,15232,10000,1937
Trie,baseline,1,mid,30,7.311488,0.865797,7.001667,7.621309,47.864770,28.090244,78692,78691,97292,15232,10000,1937
Trie,baseline,1,long,30,7.101775,0.728701,6.841013,7.362538,47.864770,28.090244,78692,78691,97292,15232,10000,1937
Trie,baseline,5,short,30,18.483020,2.469699,17.599250,19.366791,47.864770,28.090244,78692,78691,97292,15232,10000,1937
Trie,baseline,5,mid,30,15.689055,1.045174,15.315044,16.063066,47.864770,28.090244,78692,78691,97292,15232,10000,1937
Trie,baseline,5,long,30,15.948392,1.562789,15.389155,16.507628,47.864770,28.090244,78692,78691,97292,15232,10000,1937
Trie,baseline,10,short,30,26.456474,2.037821,25.727249,27.185699,47.864770,28.090244,78692,78691,97292,15232,10000,1937
Trie,baseline,10,mid,30,24.486889,1.373979,23.995217,24.978561,47.864770,28.090244,78692,78691,97292,15232,10000,1937
Trie,baseline,10,long,30,27.027755,2.368733,26.180115,27.875395,47.864770,28.090244,78692,78691,97292,15232,10000,1937
Trie,baseline,20,short,30,49.765610,3.804911,48.404040,51.127180,47.864770,28.090244,78692,78691,97292,15232,10000,1937
Trie,baseline,20,mid,30,44.920215,3.148052,43.793699,46.046731,47.864770,28.090244,78692,78691,97292,15232,10000,1937
Trie,baseline,20,long,30,49.094710,5.714447,47.049822,51.139599,47.864770,28.090244,78692,78691,97292,15232,10000,1937
Trie,ranked,1,short,30,446.994698,28.838299,436.675045,457.314351,47.864770,28.090244,78692,78691,97292,15232,10000,1937
Trie,ranked,1,mid,30,418.193567,15.331949,412.707100,423.680034,47.864770,28.090244,78692,78691,97292,15232,10000,1937
Trie,ranked,1,long,30,397.666446,8.663188,394.566364,400.766528,47.864770,28.090244,78692,78691,97292,15232,10000,1937
Trie,ranked,5,short,30,443.012762,7.459841,440.343292,445.682231,47.864770,28.090244,78692,78691,97292,15232,10000,1937
Trie,ranked,5,mid,30,428.768592,9.437811,425.391315,432.145869,47.864770,28.090244,78692,78691,97292,15232,10000,1937
Trie,ranked,5,long,30,404.752335,8.039938,401.875280,407.629390,47.864770,28.090244,78692,78691,97292,15232,10000,1937
Trie,ranked,10,short,30,454.614427,11.693006,450.430138,458.798715,47.864770,28.090244,78692,78691,97292,15232,10000,1937
Trie,ranked,10,mid,30,427.111520,11.067063,423.151222,431.071818,47.864770,28.090244,78692,78691,97292,15232,10000,1937
Trie,ranked,10,long,30,411.870000,17.718660,405.529459,418.210541,47.864770,28.090244,78692,78691,97292,15232,10000,1937
Trie,ranked,20,short,30,454.079959,10.448987,450.340837,457.819081,47.864770,28.090244,78692,78691,97292,15232,10000,1937
Trie,ranked,20,mid,30,432.389114,12.860810,427.786932,436.991295,47.864770,28.090244,78692,78691,97292,15232,10000,1937
Trie,ranked,20,long,30,409.776120,7.837751,406.971417,412.580823,47.864770,28.090244,78692,78691,97292,15232,10000,1937
Trie,cached,1,short,30,11.296848,1.524094,10.751458,11.842238,47.864770,28.090244,78692,78691,97292,15232,10000,1937
Trie,cached,1,mid,30,10.035239,0.676516,9.793151,10.277328,47.864770,28.090244,78692,78691,97292,15232,10000,1937
Trie,cached,1,long,30,9.805597,0.780048,9.526461,10.084734,47.864770,28.090244,78692,78691,97292,15232,10000,1937
